日期,商品(契約),商品名稱(契約名稱),到期月份(週別),交易人類別,前五大交易人買方,前五大交易人賣方,前十大交易人買方,前十大交易人賣方,全市場未沖銷部位數
2026/07/29,EG     ,中石化期貨,202608  ,1,240,1143,240,1281,1302
2026/07/29,EG     ,中石化期貨,999999  ,0,398,1149,598,1365,1380
2026/07/29,EG     ,中石化期貨,999999  ,1,240,1149,240,1356,1380
2026/07/29,EH     ,東陽期貨,202608  ,0,224,588,319,607,610
2026/07/29,EH     ,東陽期貨,202608  ,1,100,588,142,604,610
2026/07/29,EH     ,東陽期貨,999999  ,0,248,725,360,746,751
2026/07/29,EH     ,東陽期貨,999999  ,1,100,725,142,744,751
2026/07/29,EK     ,南紡期貨,202608  ,0,98,104,117,133,134
2026/07/29,EK     ,南紡期貨,202608  ,1,27,104,27,119,134
2026/07/29,EK     ,南紡期貨,999999  ,0,102,118,128,147,148
2026/07/29,EK     ,南紡期貨,999999  ,1,27,118,27,133,148
2026/07/29,EM     ,東元期貨,202608  ,0,863,1479,1020,1546,1564
2026/07/29,EM     ,東元期貨,202608  ,1,863,1479,901,1531,1564
2026/07/29,EM     ,東元期貨,999999  ,0,886,1570,1043,1642,1670
2026/07/29,EM     ,東元期貨,999999  ,1,886,1570,924,1627,1670
2026/07/29,EO     ,中砂期貨,202608  ,0,39,47,46,49,49
2026/07/29,EO     ,中砂期貨,202608  ,1,31,44,34,45,49
2026/07/29,EO     ,中砂期貨,999999  ,0,44,51,51,54,54
2026/07/29,EO     ,中砂期貨,999999  ,1,36,48,39,50,54
2026/07/29,EP     ,亞德客-KY期貨,202608  ,0,46,48,54,57,58
2026/07/29,EP     ,亞德客-KY期貨,202608  ,1,33,48,35,55,58
2026/07/29,EP     ,亞德客-KY期貨,999999  ,0,46,48,57,60,61
2026/07/29,EP     ,亞德客-KY期貨,999999  ,1,33,48,35,58,61
2026/07/29,EY     ,中纖期貨,202608  ,0,589,892,807,1267,1486
2026/07/29,EY     ,中纖期貨,202608  ,1,459,313,519,584,1486
2026/07/29,EY     ,中纖期貨,999999  ,0,589,954,807,1353,1600
2026/07/29,EY     ,中纖期貨,999999  ,1,459,505,519,710,1600
2026/07/29,EZ     ,台肥期貨,202608  ,0,91,98,107,113,114
2026/07/29,EZ     ,台肥期貨,202608  ,1,32,98,34,111,114
2026/07/29,EZ     ,台肥期貨,999999  ,0,91,98,109,113,116
2026/07/29,EZ     ,台肥期貨,999999  ,1,32,98,34,111,116
2026/07/29,F1F    ,英國富時100期貨,202609  ,0,298,302,302,302,302
2026/07/29,F1F    ,英國富時100期貨,202609  ,1,179,0,179,0,302
2026/07/29,F1F    ,英國富時100期貨,999999  ,0,308,313,313,313,313
2026/07/29,F1F    ,英國富時100期貨,999999  ,1,184,0,184,0,313
2026/07/29,FB     ,東和鋼鐵期貨,202608  ,0,19,20,23,23,23
2026/07/29,FB     ,東和鋼鐵期貨,202608  ,1,10,20,10,23,23
2026/07/29,FB     ,東和鋼鐵期貨,999999  ,0,19,20,23,23,23
2026/07/29,FB     ,東和鋼鐵期貨,999999  ,1,10,20,10,23,23
2026/07/29,FE     ,大成鋼期貨,202608  ,0,1394,2294,1882,2846,3123
2026/07/29,FE     ,大成鋼期貨,202608  ,1,386,2294,386,2846,3123
2026/07/29,FE     ,大成鋼期貨,999999  ,0,1394,2364,1893,2919,3208
2026/07/29,FE     ,大成鋼期貨,999999  ,1,386,2364,386,2919,3208
2026/07/29,FF     ,上銀期貨,202608  ,0,115,201,164,231,242
2026/07/29,FF     ,上銀期貨,202608  ,1,115,201,143,227,242
2026/07/29,FF     ,上銀期貨,999999  ,0,115,201,165,232,246
2026/07/29,FF     ,上銀期貨,999999  ,1,115,201,144,228,246
2026/07/29,FG     ,川湖期貨,202608  ,0,30,30,41,41,44
2026/07/29,FG     ,川湖期貨,202608  ,1,27,30,29,41,44
2026/07/29,FG     ,川湖期貨,999999  ,0,32,30,43,42,46
2026/07/29,FG     ,川湖期貨,999999  ,1,29,30,31,42,46
2026/07/29,FK     ,正新期貨,202608  ,0,347,437,411,526,558
2026/07/29,FK     ,正新期貨,202608  ,1,231,437,231,526,558
2026/07/29,FK     ,正新期貨,999999  ,0,516,585,608,725,784
2026/07/29,FK     ,正新期貨,999999  ,1,231,585,231,725,784
2026/07/29,FN     ,裕隆期貨,202608  ,0,387,546,489,582,593
2026/07/29,FN     ,裕隆期貨,202608  ,1,249,546,278,578,593
2026/07/29,FN     ,裕隆期貨,999999  ,0,564,849,776,950,969
2026/07/29,FN     ,裕隆期貨,999999  ,1,197,849,249,950,969
2026/07/29,FQ     ,光寶科期貨,202608  ,0,1731,1604,1954,2342,2776
2026/07/29,FQ     ,光寶科期貨,202608  ,1,1368,1604,1529,2342,2776
2026/07/29,FQ     ,光寶科期貨,999999  ,0,1812,1752,2119,2547,3044
2026/07/29,FQ     ,光寶科期貨,999999  ,1,1555,1752,1716,2547,3044
2026/07/29,FR     ,台達電期貨,202608  ,0,2772,3130,3311,3810,4327
2026/07/29,FR     ,台達電期貨,202608  ,1,1986,3130,2237,3810,4327
2026/07/29,FR     ,台達電期貨,999999  ,0,3262,3729,3940,4491,5042
2026/07/29,FR     ,台達電期貨,999999  ,1,2452,3729,2703,4491,5042
2026/07/29,FS     ,金寶期貨,202608  ,0,886,1696,1161,1720,1734
2026/07/29,FS     ,金寶期貨,202608  ,1,886,1686,1092,1690,1734
2026/07/29,FS     ,金寶期貨,999999  ,0,886,1867,1180,1898,1919
2026/07/29,FS     ,金寶期貨,999999  ,1,886,1867,1111,1871,1919
2026/07/29,FT     ,華通期貨,202608  ,0,1237,2029,1545,2286,2988
2026/07/29,FT     ,華通期貨,202608  ,1,1237,1910,1545,2121,2988
